"subjectid","condition"
"X-A901","e-cig_tobacco"
"X-A902","e-cig_choice"
"X-A903","e-cig_choice"
"X-A904","e-cig_tobacco"
"X-A905","e-cig_choice"
"X-A907","e-cig_choice"
"X-A908","e-cig_tobacco"
"X-A909","e-cig_choice"
"Y-A902","e-cig_choice"
"Y-A904","e-cig_tobacco"
"Y-A905","e-cig_tobacco"
"Y-A906","e-cig_choice"
"Y-A907","e-cig_tobacco"
"Y-A908","e-cig_choice"
"Y-A909","e-cig_choice"
"Y-A910","e-cig_tobacco"
"Y-A911","e-cig_choice"
"Y-A912","e-cig_tobacco"
"Y-A913","e-cig_choice"
"Y-A914","e-cig_tobacco"
"Z-A902","e-cig_tobacco"
"Z-A903","e-cig_choice"
"Z-A905","e-cig_choice"
"Z-A906","e-cig_choice"
"Z-A907","e-cig_tobacco"
"Z-A910","e-cig_choice"
"Z-A911","e-cig_choice"
"Z-B901","e-cig_tobacco"
"Z-B902","e-cig_tobacco"
"Z-B903","e-cig_choice"
"Z-B905","e-cig_choice"
"Z-B906","e-cig_choice"
"Z-B907","e-cig_tobacco"
